id,bad,wealth,max_unpay_day,score,age,period,education
367,0,6,,281,24,6,4
368,0,8,,417,28,10,4
369,0,5,,346,33,6,4
370,0,4,,345,25,10,2
371,0,3,,307,43,,4
372,0,3,,320,35,,3
373,0,5,,319,24,6,4
374,0,6,,262,24,6,4
375,0,2,,198,25,6,2
376,0,6,,166,29,6,
377,0,3,,306,25,10,2
378,0,3,,322,24,6,2
379,0,4,,363,30,4,4
380,0,5,,396,30,6,
381,0,8,,274,22,6,2
382,1,3,208,246,22,6,2
383,0,5,,379,23,6,1
384,0,4,,264,24,6,4
385,1,4,,347,24,6,4
386,0,3,,292,23,6,2
387,0,4,,354,29,4,4
388,0,4,,283,23,6,3
389,0,10,,411,26,,4
390,0,4,,284,25,6,
391,0,6,,250,25,6,3
392,0,4,,246,22,6,2
393,0,3,,367,26,8,4
394,0,4,,283,26,6,4
395,0,4,,325,31,,
396,0,7,,362,30,10,4
397,0,2,,269,28,10,3
398,0,5,,324,28,6,3
399,1,4,,297,23,10,4
400,0,6,,383,28,6,4
401,0,3,171,220,40,10,4
402,0,8,,253,21,6,
403,0,3,,319,30,10,3
404,0,3,,381,26,10,4
405,0,4,,358,27,6,1
406,0,3,,203,24,6,
407,0,6,,275,25,6,2
408,0,5,,378,29,10,4
409,1,5,,341,22,6,2
410,0,1,,218,30,10,2
411,0,3,,253,23,6,2
412,0,6,,337,36,6,3
413,0,7,,257,22,6,3
414,0,4,,342,37,10,2
415,0,4,,352,33,10,4
416,0,4,,313,34,,4
417,0,3,,312,32,6,4
418,0,4,,251,23,6,
419,0,3,,363,29,10,4
420,0,4,,339,26,6,
421,1,2,,240,21,6,4
422,0,1,,261,24,6,4
423,0,5,,280,39,6,2
424,0,3,,305,39,10,4
425,0,6,,305,29,,
426,1,4,,325,23,6,2
427,0,7,,437,35,4,4
428,0,4,,274,23,10,4
429,0,7,,348,26,,5
430,0,2,,294,30,4,4
431,0,6,,365,29,10,4
432,0,3,,313,26,6,4
433,0,7,,249,38,4,4
434,0,5,,239,27,8,2
435,0,3,,294,24,6,3
436,0,2,,324,24,,4
437,0,4,,240,37,10,3
438,0,1,,198,23,6,
439,0,9,,341,28,6,
440,0,4,,218,36,,
441,0,5,,348,26,,4
442,1,,,0,22,6,4
443,1,10,,216,33,6,
444,0,5,,257,21,6,3
445,0,1,,200,32,6,2
446,0,4,,402,24,10,2
447,0,4,,315,35,,4
448,0,8,,317,39,6,5
449,0,10,,290,24,6,2
450,0,5,,291,39,,
451,0,4,,318,30,4,4
452,0,4,,376,29,6,2
453,0,6,,247,28,6,2
454,1,7,,367,25,10,2
455,0,,,0,35,4,4
456,0,6,201,232,30,,
457,1,5,,321,22,6,
458,0,5,,320,31,,2
459,0,10,,301,24,,
460,0,6,,327,23,6,3
461,0,5,,379,33,10,1
462,0,5,,308,26,6,2
463,0,5,,333,23,6,3
464,0,9,,295,27,6,4
465,0,3,,254,27,,5
466,0,3,,321,30,10,
467,0,6,,236,21,6,2
468,0,6,,368,25,6,4
469,0,3,,381,26,6,4
470,0,5,,313,29,,4
471,0,5,,300,32,,4
472,0,4,,379,24,6,1
473,0,4,,340,33,10,5
474,0,4,,239,23,6,
475,0,5,,304,23,6,3
476,0,10,,385,23,10,
477,0,4,,308,27,6,3
478,0,5,,341,25,10,2
479,0,4,,440,31,6,
480,0,5,171,367,26,6,3
481,0,7,,356,28,10,5
482,0,5,,267,34,4,4
483,0,3,,287,42,,4
484,0,6,,402,28,6,4
485,0,4,,279,28,6,2
486,0,6,,415,27,10,
487,0,4,,307,25,6,3
488,0,3,,296,29,6,3
489,0,4,,338,26,6,4
490,0,6,200,210,25,10,3
491,0,3,,212,23,6,4
492,0,3,,251,23,6,4
493,0,3,,211,23,10,4
494,1,6,,302,29,6,2
495,0,4,,298,27,6,2
496,0,5,,351,25,10,3
497,0,3,,197,33,,2
498,1,,208,205,23,10,3
499,0,4,,342,29,6,4
500,1,3,,204,25,6,4
501,0,4,,310,29,,5
502,0,4,,335,21,6,2
503,0,8,,361,33,10,4
504,0,4,,324,33,,4
505,0,4,,313,26,,4
506,1,9,,284,23,6,3
507,0,5,,387,28,6,4
508,0,4,,335,30,6,4
509,0,4,,292,33,,4
510,0,5,,340,26,10,3
511,0,6,,254,21,6,2
512,0,5,171,367,28,10,2
513,0,6,,434,28,10,
514,0,4,,331,27,6,4
515,0,5,,292,31,,
516,0,,208,209,36,10,2
517,0,5,,300,32,,3
518,0,3,,304,23,10,
519,0,3,188,232,26,10,2
520,0,3,,335,24,6,4
521,0,1,,201,22,6,4
522,0,3,,268,43,,4
523,0,7,,298,26,6,3
524,0,3,,265,23,,5
525,0,3,,323,26,6,4
526,0,3,,374,31,,4
527,0,5,,362,25,10,4
528,0,4,,389,27,,2
529,0,5,,389,25,10,5
530,0,5,,363,37,4,5
531,0,5,,331,31,10,4
532,0,4,,312,22,6,
533,0,7,,306,28,6,4
534,0,5,,244,24,6,4
535,0,5,,324,33,,4
536,0,6,,378,33,6,
537,0,7,,268,26,6,
538,1,3,,286,23,6,2
539,0,4,,292,27,10,3
540,0,4,,277,28,6,4
541,0,5,,377,25,6,4
542,0,3,,231,31,10,
543,0,5,,0,34,6,4
544,0,1,,235,26,10,2
545,0,5,,284,26,6,
546,0,5,,220,22,10,
547,0,7,,297,22,6,
548,0,4,,309,27,10,4
549,0,2,,324,36,6,4
550,1,6,,329,23,6,4
551,1,2,,284,27,6,1
552,0,4,,268,24,6,4
553,0,4,,0,28,6,4
554,0,3,,231,34,6,3
555,0,4,,297,28,6,4
556,0,4,,273,28,10,2
557,0,2,,312,31,10,4
558,0,3,,240,24,6,2
559,0,6,,360,26,10,4
560,0,3,188,214,25,10,2
561,0,,,205,22,10,2
562,0,5,,233,24,10,
563,0,5,,280,23,6,2
564,1,3,,0,22,10,4
565,0,2,,193,22,6,2
566,0,6,,376,25,4,4
567,0,3,,240,31,,2
568,0,4,,348,26,6,5
569,0,4,,259,27,6,4
570,0,,,0,38,,2
571,0,4,,367,25,10,4
572,0,4,,380,25,6,4
573,0,4,,342,33,6,4
574,0,3,,272,30,6,4
575,0,4,,335,36,8,4
576,0,3,,328,24,6,3
577,0,4,204,213,22,10,2
578,0,2,,243,26,6,4
579,1,2,,216,24,6,4
580,0,8,,277,35,,4
581,0,5,,401,25,6,
582,0,6,,274,34,,4
583,0,5,,382,29,6,4
584,0,3,,310,28,6,2
585,0,3,,260,22,6,
586,0,4,,289,41,,4
587,0,4,,363,22,6,
588,0,3,171,231,27,6,
589,0,4,193,221,26,10,
590,0,10,,234,30,,4
591,0,4,,238,22,6,4
592,0,3,,354,26,10,4
593,0,2,,251,24,6,2
594,0,3,,252,43,,4
595,0,5,,228,22,6,2
596,0,3,,320,24,6,2
597,0,6,,329,37,6,3
598,0,6,,361,28,10,
599,0,4,,333,36,10,3
600,0,2,,0,25,6,4
601,0,5,,353,28,6,4
602,0,3,,246,22,6,3
603,0,5,,367,30,,
604,0,3,,331,34,6,4
605,0,11,,347,22,,
606,0,4,,216,32,6,4
607,0,7,,252,25,10,3
608,0,3,,340,26,10,4
609,0,4,,296,32,,4
610,0,7,,400,29,4,5
611,0,4,,231,31,6,
612,0,3,,208,23,6,4
613,0,5,,259,22,6,3
614,0,4,,330,33,10,4
615,0,3,,330,32,8,4
616,0,3,,289,25,6,4
617,0,5,,269,23,6,4
618,0,4,171,278,24,8,3
619,0,5,,336,29,6,4
620,0,3,,316,22,6,3
621,0,6,,337,29,6,2
622,0,6,,404,29,6,4
623,0,10,,381,22,6,1
624,0,4,,338,27,10,4
625,0,,,205,28,6,3
626,0,6,,274,37,,4
627,0,5,,198,22,6,
628,0,7,,312,33,10,4
629,0,4,,354,26,6,2
630,1,4,,287,35,,4
631,0,1,,196,22,6,
632,0,4,,309,32,6,4
633,0,5,,280,38,,
634,0,3,,304,30,,3
635,0,6,,355,29,6,4
636,0,5,,309,31,4,4
637,0,5,,244,24,6,
638,0,5,,298,31,6,3
639,0,9,,210,21,6,3
640,0,4,,342,30,,3
641,0,5,,222,24,6,2
642,1,6,,240,22,6,2
643,0,6,,204,28,6,
644,0,8,,359,27,6,4
645,0,3,,261,21,6,2
646,0,4,,287,35,6,4
647,0,1,,251,24,,2
648,0,6,,353,26,,5
649,0,2,,239,26,10,1
650,0,3,,341,26,8,4
651,0,3,,310,32,10,4
652,0,6,,278,29,6,4
653,0,3,,324,24,6,
654,0,6,,250,28,6,4
655,0,4,,275,24,6,4
656,0,6,,386,27,6,
657,0,4,,237,29,6,4
658,0,6,,338,23,6,2
659,0,4,,264,32,4,
660,1,5,200,245,27,,2
661,0,4,,318,32,10,4
662,1,4,,0,22,6,
663,0,2,,239,28,10,3
664,0,6,,303,25,6,2
665,0,4,,0,26,10,2
666,0,3,,339,32,10,4
667,0,4,,315,29,,5
668,0,3,,274,35,,4
669,0,7,,287,27,10,4
670,0,4,,393,30,6,4
671,0,3,,293,34,,2
672,0,6,,284,41,4,5
673,0,6,,314,28,,2
674,0,4,,364,28,10,4
675,0,3,,238,34,6,2
676,0,3,,296,39,10,3
677,1,3,,261,22,6,4
678,0,4,,388,30,10,4
679,0,4,,272,26,4,2
680,0,4,,351,24,10,2
681,0,4,,294,25,10,2
682,1,7,,289,29,6,4
683,0,6,,270,23,6,1
684,0,5,,298,27,8,3
685,0,4,208,269,38,6,
686,0,4,,377,36,6,4
687,1,2,,233,28,6,3
688,0,7,,250,29,6,3
689,0,5,,321,25,6,4
690,0,7,,417,29,8,4
691,0,4,,282,29,6,4
692,0,5,,380,24,6,
693,0,3,,278,31,,4
694,0,3,,330,29,4,4
695,0,3,,260,25,6,2
696,0,3,171,259,22,6,3
697,0,4,,266,42,,5
698,0,2,,247,22,6,4
699,0,3,,355,23,8,2
700,0,4,,337,27,6,4
701,0,7,,255,22,6,2
702,0,3,,307,27,10,4
703,0,4,,347,37,4,4
704,1,4,,278,25,6,3
705,0,6,,326,37,,2
706,0,3,,212,22,,2
707,0,4,,346,35,,3
708,0,4,,223,22,6,2
709,1,3,,281,23,10,2
710,0,4,,306,21,6,
711,0,4,,320,26,6,2
712,0,4,,371,30,10,4
713,0,4,,334,28,10,4
714,1,2,,315,23,6,3
715,0,4,,308,32,,4
716,0,8,,304,35,,4
717,0,4,,277,24,6,3
718,0,3,,281,33,6,2
719,0,3,,316,26,6,4
720,0,4,171,227,24,,2
721,0,3,,350,23,6,2
722,0,3,,230,23,6,4
723,0,2,,196,21,6,2
724,0,1,,225,37,6,4
725,1,5,,286,23,6,2
726,0,4,,337,33,,4
727,0,3,,300,23,6,1
728,0,6,,350,23,6,1
729,0,4,,301,27,10,
730,0,5,,243,36,,4
731,0,10,,273,24,,
732,0,3,,267,23,10,
733,0,7,,411,30,10,4
734,0,7,,303,23,6,3
735,0,4,,308,23,6,2
736,0,8,,341,23,6,4
737,0,3,,353,39,6,4
738,0,13,,325,32,6,
739,0,1,,276,33,6,4
740,0,5,,320,25,6,4
741,0,6,,307,22,6,
742,0,5,,312,30,6,4
743,0,1,,207,23,10,2
744,0,5,,363,24,6,4
745,0,4,,334,24,6,4
746,0,4,,278,24,6,4
747,0,5,,376,31,4,4
748,0,4,,291,37,,5
749,0,4,,286,24,6,2
750,0,5,,332,24,10,2
751,0,12,184,253,24,10,2
752,1,,,0,21,6,4
753,0,3,,319,24,6,4
754,0,6,,271,27,10,
755,0,5,,303,31,,4
756,0,3,,296,24,6,4
757,0,5,,338,30,,2
758,0,2,200,219,28,10,2
759,0,6,,292,24,10,4
760,0,,,196,26,6,4
761,0,5,,283,25,10,2
762,0,6,,294,31,,4
763,0,5,,321,27,10,4
764,0,10,,337,26,6,4
765,0,4,,379,25,6,4
766,0,4,,259,22,6,3
767,1,7,,309,27,10,4
768,0,4,,293,40,,4
769,0,1,,0,23,10,3
770,0,4,,285,26,6,4
771,0,5,,343,25,10,
772,0,5,,220,22,6,
773,0,7,,277,23,6,3
774,0,4,,355,27,10,4
775,0,2,,257,31,10,4
776,0,3,,257,24,6,4
777,0,4,,309,29,,4
778,0,4,,254,26,6,2
779,0,3,,334,26,,4
780,0,9,,229,26,6,
781,0,3,,308,26,6,4
782,0,5,,404,25,10,2
783,0,5,,303,24,6,4
784,0,4,,271,24,10,2
785,0,3,,312,34,,4
786,0,9,,398,39,6,4
787,0,9,,314,46,,2
788,0,2,,283,25,6,2
789,0,8,,409,29,6,4
790,1,3,171,225,24,10,2
791,0,5,,345,27,10,4
792,0,2,184,230,23,10,2
793,0,4,,317,30,,4
794,0,3,,309,28,10,4
795,0,5,,335,37,10,4
796,0,4,193,207,22,10,2
797,0,5,,312,24,,4
798,0,5,,387,34,4,4
799,0,5,,300,23,6,
800,0,7,,405,25,10,3
801,0,3,204,207,20,10,2
802,0,7,,288,23,6,1
803,0,5,,374,35,,5
804,0,6,,314,25,6,
805,0,4,,293,23,6,4
806,0,3,,204,23,6,2
807,0,4,,375,28,10,4
808,0,3,,334,28,10,5
809,0,5,,263,24,6,4
810,0,4,,254,28,6,
811,0,4,,335,35,4,4
812,1,3,,300,24,10,4
813,0,6,,340,29,10,4
814,0,5,,292,26,10,
815,0,5,,268,34,,4
816,0,4,,422,23,10,1
817,0,4,,346,31,,4
818,0,5,,302,26,10,4
819,0,4,,274,43,6,5
820,0,2,,250,26,6,1
821,0,5,,300,24,,4
822,0,2,,301,30,,4
823,0,5,,296,25,10,4
824,0,3,,304,30,10,4
825,0,3,,318,28,10,5
826,1,3,,268,22,10,3
827,0,2,,201,22,6,2
828,0,5,,328,37,,5
829,0,4,,320,31,4,4
830,0,4,,193,24,6,3
831,0,4,,340,26,10,4
832,0,5,,338,30,6,2
833,0,4,204,288,31,8,2
834,0,3,,347,30,6,4
835,0,2,,302,26,6,4
836,0,6,,343,27,6,4
837,0,4,,306,45,,5
838,0,4,,295,25,10,2
839,0,5,,351,27,10,3
840,0,4,193,231,29,10,2
841,1,5,,347,27,6,4
842,1,2,,241,22,10,
843,0,7,,283,33,,2
844,0,3,,266,24,6,4
845,1,6,,242,25,6,4
846,0,6,,406,28,,
847,0,4,,312,22,6,4
848,0,3,,294,26,,4
849,0,4,,333,24,6,4
850,0,5,,304,30,6,
851,0,3,,261,39,,4
852,0,6,,227,26,6,2
853,0,2,,293,25,6,
854,0,6,,330,30,8,4
855,0,3,,314,29,,4
856,0,6,,347,35,,5
857,0,5,171,278,24,6,3
858,0,3,,298,33,4,4
859,0,4,,241,33,,4
860,0,3,,279,31,6,4
861,0,6,,356,42,4,3
862,0,6,,345,26,6,
863,0,4,,288,42,10,4
864,0,7,,207,23,10,2
865,0,7,,362,26,10,4
866,0,4,,324,24,6,2
867,0,,,207,23,10,2
868,1,4,204,280,25,6,
869,0,6,,282,29,6,
870,0,4,,235,25,6,4
871,0,3,,254,29,,4
872,0,4,,321,33,,5
873,0,4,,287,25,6,3
874,0,5,,319,32,6,3
875,0,8,,286,28,6,
876,0,3,,302,40,,2
877,0,4,,314,33,6,
878,0,3,,295,24,10,
879,0,5,,299,31,,2
880,0,7,,248,24,6,4
881,0,6,,318,29,,3
882,0,4,,286,23,6,2
883,0,4,,251,22,6,
884,0,6,,351,25,6,
885,0,6,,288,25,,2
886,0,5,,204,41,,5
887,0,,,194,35,6,5
888,0,4,,366,34,,4
889,0,2,184,245,23,10,2
890,0,9,,300,45,,5
891,0,4,171,337,33,10,4
892,0,5,,375,25,6,2
893,0,7,,418,28,10,
894,0,4,,253,25,10,2
895,0,6,,263,24,6,2
896,0,1,184,241,24,10,3
897,0,5,,286,23,6,1
898,0,7,,311,29,10,4
899,0,3,,314,26,6,3
900,0,7,,311,30,6,
901,0,2,,187,24,,2
902,0,3,,243,26,6,2
903,0,5,,327,23,,4
904,0,6,,300,24,6,
905,0,3,,301,22,6,2
906,0,6,,320,25,6,4
907,0,4,,285,35,6,3
908,0,9,,325,24,10,4
909,0,7,,263,22,6,3
910,0,4,,349,33,10,4
911,0,3,,205,30,10,4
912,0,5,,274,27,,4
913,0,3,,328,31,,4
914,0,4,,241,24,6,2
915,0,3,,305,29,6,4
