id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
309,0,良,3.38,7,341.29,70,37.92,57,52,17400,50,5097,693.39,24,0
310,0,优,2.16,2,30,30,30,0,0,101,101,30.3,30.3,0,0
311,0,良,8.98,7,254.23,92,63.56,25,25,3164.8253,30,1494.7991,628.3,0,0
312,0,,9.12,0,200,100,100,0,0,2000,0,2000,1000,1,928
313,0,优,23.58,2,141.82,60,35.45,0,0,1100,50,363,132.48,3,717
314,0,良,0.67,3,143.3,100,47.77,0,0,2000,300,666,232,0,0
315,0,,2.98,2,100,100,100,0,0,300,300,300,300,9,78
316,0,优,2.47,2,100,100,100,0,0,200,200,200,200,14,1
317,0,良,6.38,5,140,100,70,40,40,803.0183,100,321.2073,210.6,0,0
318,0,,4.29,6,200,90,66.67,110,60,600,50,540,198.33,0,0
319,0,优,11.59,3,90,90,90,90,90,200,200,180,180,0,0
320,0,,2.14,2,5,5,5,0,0,700,700,35,35,0,0
321,0,良,3.17,1,50,50,50,0,0,200,200,100,100,5,677
322,0,优,7.4,1,70,70,70,0,0,300,300,210,210,0,0
323,0,良,3.82,2,40,20,20,0,0,100,10,20,11,0,0
324,0,良,19.43,6,250,100,62.5,0,0,77000,0,69300,17520,13,12
325,0,优,8.78,1,98,98,98,0,0,600,600,588,588,11,224
326,0,良,3.89,5,70,70,35,70,70,500,370,259,259,0,0
327,0,,14.71,2,60,60,60,0,0,50,50,30,30,0,0
328,0,优,11.95,1,5,5,5,0,0,128,128,6.4,6.4,0,0
329,0,良,1.6,6,359.5,100,51.36,60,60,1000,10,300,105,6,364
330,0,优,2.74,1,0,0,0,0,0,0,0,0,0,2,652
331,0,优,7.55,3,190,100,95,0,0,100,2,90,46,3,25
332,1,优,12.52,1,70,70,70,0,0,100,100,70,70,8,371
333,0,,1.31,4,103.57,98.57,51.78,0,0,350,10,345,172.75,0,0
334,0,,3.02,2,0,0,0,0,0,0,0,0,0,5,197
335,0,良,10.67,4,100,100,100,0,0,10,10,10,10,11,451
336,0,良,11.48,1,24,24,24,0,0,500,500,120,120,10,476
337,0,优,1.25,6,10,10,10,0,0,1500,1500,150,150,0,0
338,0,良,6.99,3,102,52,51,0,0,510,100,255,153.5,3,724
339,1,优,4.5,1,0,0,0,0,0,0,0,0,0,22,266
340,0,优,25.07,1,0,0,0,0,0,0,0,0,0,3,852
341,0,良,1.49,1,0,0,0,0,0,0,0,0,0,2,411
342,0,优,3.73,19,430,95,43,0,0,1000,100,950,169.1,7,73
343,0,优,4.27,1,20,20,20,0,0,50,50,10,10,13,87
344,0,良,13.54,1,90,90,90,0,0,1000,1000,900,900,23,204
345,0,,2.22,1,0,0,0,0,0,150,150,0,0,8,175
346,0,优,4.66,1,0,0,0,0,0,0,0,0,0,4,687
347,0,,19.68,1,50,50,50,0,0,200,200,100,100,5,854
348,0,,17.87,1,0,0,0,0,0,0,0,0,0,6,656
349,0,优,11.26,2,40,40,40,0,0,100,100,40,40,5,1215
350,1,优,11.3,16,468.92,100,66.99,0,0,5101,100,4794.94,1142.42,18,8
351,0,优,3.67,1,0,0,0,0,0,0,0,0,0,0,0
352,0,优,15.28,4,80,80,80,0,0,3000,3000,2400,2400,7,176
353,0,良,2.25,6,270,100,67.5,100,100,1000,10,500,158,2,167
354,0,优,12.12,4,180,90,60,40,40,500,50,450,165,0,0
355,0,优,2.65,3,100.04,100,50.02,0,0,5028000,100,2000,1050,0,0
356,0,良,1.06,2,146,95,73,95,95,108,100,95,75.04,0,0
357,0,优,4.53,2,100,50,50,50,50,100,20,50,30,0,0
358,1,良,6.56,4,0.15,0.15,0.07,0,0,2000,300,3,3,47,55
359,0,良,4.87,1,10,10,10,0,0,100,100,10,10,2,707
360,0,,17.11,2,130.56,55.56,43.52,80.56,55.56,100,50,50,37.5,11,287
361,0,优,3.01,10,130,50,32.5,130,50,200,10,100,39.25,0,0
362,0,良,6.74,6,0,0,0,0,0,0,0,0,0,0,0
363,0,,4.34,2,20,20,20,0,0,100000,100000,20000,20000,8,167
364,0,优,5.74,3,120,90,60,0,0,1000,300,300,285,7,313
365,0,良,7.1,1,100,100,100,100,100,0,0,38,38,0,0
366,0,,8.13,6,68.46,40,13.69,0,0,2000,5,100,30.36,9,1347
367,0,优,14.74,3,100,50,50,0,0,,50,150,87.5,4,217
368,0,良,3.07,0,0,0,0,0,0,,0,0,0,9,61
369,1,良,4.13,1,47,47,47,0,0,,2000,225,225,2,56
370,0,优,4.2,5,130,90,65,40,40,,10,5400,2702,28,132
371,0,良,10.86,3,124,75,62,0,0,,380,285,235.6,0,0
372,0,优,2.8,1,48.33,48.33,48.33,0,0,,1200,580,580,0,0
373,0,优,2.44,8,30,30,30,30,30,,10,3,3,0,0
374,0,,13.29,15,148.9,100,37.23,0,0,,100,188.9,119.52,5,252
375,0,优,18.22,2,0,0,0,0,0,,0,0,0,17,629
376,0,优,7.05,2,160,100,80,60,60,,154,300,227,0,0
377,0,良,2.8,2,66.25,60,33.12,0,0,,100,525,292.5,12,458
378,0,优,6.77,100,0,0,0,0,0,,0,0,0,10,262
379,0,优,8.7,0,0,0,0,0,0,,0,0,0,0,0
380,0,良,5.69,4,176.67,66.67,58.89,0,0,,3,250,86,4,0
381,0,良,6.11,3,110,80,55,0,0,,1000,800,550,4,464
